starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 26 12:56:16 2022	1643172976	3	563	566	114
Wed Jan 26 12:56:19 2022	1643172979	12	554	566	72
Wed Jan 26 12:56:15 2022	1643172975	7	559	566	104
Wed Jan 26 12:56:16 2022	1643172976	3	563	566	73
Wed Jan 26 12:56:14 2022	1643172974	5	561	566	213
Wed Jan 26 12:56:14 2022	1643172974	4	562	566	213
Wed Jan 26 12:56:16 2022	1643172976	10	556	566	69
Wed Jan 26 12:56:16 2022	1643172976	11	556	566	69
Wed Jan 26 12:56:13 2022	1643172973	5	561	566	91
Wed Jan 26 12:56:13 2022	1643172973	4	562	566	76
Wed Jan 26 12:56:16 2022	1643172976	11	555	566	64
Wed Jan 26 12:56:16 2022	1643172976	6	561	567	55
Wed Jan 26 12:56:20 2022	1643172980	27	540	567	122
Wed Jan 26 12:56:23 2022	1643172983	5	562	567	122
Wed Jan 26 12:56:17 2022	1643172977	15	552	567	92
Wed Jan 26 12:56:16 2022	1643172976	3	564	567	116
Wed Jan 26 12:56:18 2022	1643172978	3	564	567	173
Wed Jan 26 12:56:20 2022	1643172980	18	549	567	120
Wed Jan 26 12:56:15 2022	1643172975	11	556	567	77
Wed Jan 26 12:56:14 2022	1643172974	3	564	567	181
Wed Jan 26 12:56:15 2022	1643172975	13	554	567	74
Wed Jan 26 12:56:14 2022	1643172974	4	563	567	213
Wed Jan 26 12:56:16 2022	1643172976	13	554	567	75
Wed Jan 26 12:56:20 2022	1643172980	4	564	567	151
Wed Jan 26 12:56:16 2022	1643172976	5	562	568	106
Wed Jan 26 12:56:17 2022	1643172977	13	555	568	107
Wed Jan 26 12:56:13 2022	1643172973	3	565	568	70
Wed Jan 26 12:56:19 2022	1643172979	11	557	568	64
Wed Jan 26 12:56:18 2022	1643172978	11	557	568	73
Wed Jan 26 12:56:17 2022	1643172977	6	562	568	130
Wed Jan 26 12:56:14 2022	1643172974	13	555	568	150
Wed Jan 26 12:56:21 2022	1643172981	14	555	568	140
Wed Jan 26 12:56:14 2022	1643172974	5	563	568	151
Wed Jan 26 12:56:21 2022	1643172981	13	555	568	140
Wed Jan 26 12:56:15 2022	1643172975	5	563	568	165
Wed Jan 26 12:56:18 2022	1643172978	17	552	568	93
Wed Jan 26 12:56:20 2022	1643172980	6	562	569	92
Wed Jan 26 12:56:20 2022	1643172980	19	549	569	133
Wed Jan 26 12:56:13 2022	1643172973	4	565	569	76
Wed Jan 26 12:56:13 2022	1643172973	4	565	569	98
Wed Jan 26 12:56:21 2022	1643172981	6	563	569	101
Wed Jan 26 12:56:16 2022	1643172976	5	565	569	118
Wed Jan 26 12:56:16 2022	1643172976	8	562	569	98
Wed Jan 26 12:56:19 2022	1643172979	11	558	569	73
Wed Jan 26 12:56:14 2022	1643172974	7	562	569	139
Wed Jan 26 12:56:14 2022	1643172974	3	566	569	218
Wed Jan 26 12:56:13 2022	1643172973	8	561	569	92
Wed Jan 26 12:56:13 2022	1643172973	21	549	569	48
Wed Jan 26 12:56:18 2022	1643172978	4	565	570	93
Wed Jan 26 12:56:16 2022	1643172976	8	562	570	67
Wed Jan 26 12:56:16 2022	1643172976	10	560	570	77
Wed Jan 26 12:56:14 2022	1643172974	6	564	570	139
Wed Jan 26 12:56:15 2022	1643172975	14	555	570	77
Wed Jan 26 12:56:15 2022	1643172975	15	555	570	60
Wed Jan 26 12:56:13 2022	1643172973	11	559	570	77
Wed Jan 26 12:56:18 2022	1643172978	5	565	570	188
Wed Jan 26 12:56:16 2022	1643172976	16	554	570	125
Wed Jan 26 12:56:16 2022	1643172976	22	548	570	105
Wed Jan 26 12:56:16 2022	1643172976	11	559	570	110
Wed Jan 26 12:56:23 2022	1643172983	4	567	570	121
Wed Jan 26 12:56:15 2022	1643172975	7	564	571	134
Wed Jan 26 12:56:15 2022	1643172975	13	558	571	143
Wed Jan 26 12:56:18 2022	1643172978	6	565	571	225
Wed Jan 26 12:56:13 2022	1643172973	4	567	571	60
Wed Jan 26 12:56:20 2022	1643172980	26	545	571	132
Wed Jan 26 12:56:16 2022	1643172976	9	562	571	68
