starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 26 01:23:49 2022	1643131429	3	611	613	171
Wed Jan 26 01:23:53 2022	1643131433	5	608	613	123
Wed Jan 26 01:23:49 2022	1643131429	2	611	613	171
Wed Jan 26 01:23:59 2022	1643131439	12	602	614	164
Wed Jan 26 01:23:52 2022	1643131432	14	600	614	114
Wed Jan 26 01:23:53 2022	1643131433	13	601	614	126
Wed Jan 26 01:23:54 2022	1643131434	15	599	614	199
Wed Jan 26 01:23:49 2022	1643131429	2	612	614	377
Wed Jan 26 01:23:50 2022	1643131430	16	598	614	163
Wed Jan 26 01:23:56 2022	1643131436	5	609	614	77
Wed Jan 26 01:23:56 2022	1643131436	5	609	614	77
Wed Jan 26 01:23:51 2022	1643131431	17	597	614	126
Wed Jan 26 01:23:59 2022	1643131439	10	604	614	162
Wed Jan 26 01:23:49 2022	1643131429	15	599	614	186
Wed Jan 26 01:23:56 2022	1643131436	6	608	614	77
Wed Jan 26 01:23:59 2022	1643131439	9	606	614	170
Wed Jan 26 01:23:55 2022	1643131435	22	593	615	51
Wed Jan 26 01:23:55 2022	1643131435	4	611	615	62
Wed Jan 26 01:23:58 2022	1643131438	21	594	615	143
Wed Jan 26 01:23:59 2022	1643131439	11	604	615	159
Wed Jan 26 01:23:55 2022	1643131435	22	593	615	49
Wed Jan 26 01:23:52 2022	1643131432	4	612	615	48
Wed Jan 26 01:23:56 2022	1643131436	20	596	615	98
Wed Jan 26 01:23:59 2022	1643131439	6	610	616	161
Wed Jan 26 01:23:52 2022	1643131432	17	599	616	95
Wed Jan 26 01:23:55 2022	1643131435	7	609	616	66
Wed Jan 26 01:23:51 2022	1643131431	5	612	616	218
Wed Jan 26 01:23:53 2022	1643131433	3	613	616	191
Wed Jan 26 01:23:57 2022	1643131437	9	608	617	194
Wed Jan 26 01:23:58 2022	1643131438	30	586	617	147
Wed Jan 26 01:23:54 2022	1643131434	4	613	617	125
Wed Jan 26 01:23:53 2022	1643131433	26	591	617	151
Wed Jan 26 01:23:54 2022	1643131434	4	612	617	195
Wed Jan 26 01:23:57 2022	1643131437	12	605	617	283
Wed Jan 26 01:23:55 2022	1643131435	18	600	617	70
Wed Jan 26 01:23:53 2022	1643131433	4	613	617	191
Wed Jan 26 01:23:55 2022	1643131435	21	596	617	53
Wed Jan 26 01:23:55 2022	1643131435	21	596	618	53
Wed Jan 26 01:23:58 2022	1643131438	8	609	618	242
Wed Jan 26 01:23:53 2022	1643131433	8	610	618	166
Wed Jan 26 01:23:55 2022	1643131435	7	611	618	57
Wed Jan 26 01:23:53 2022	1643131433	6	613	618	143
Wed Jan 26 01:23:51 2022	1643131431	18	601	618	128
Wed Jan 26 01:23:56 2022	1643131436	8	610	618	121
Wed Jan 26 01:23:54 2022	1643131434	34	584	618	143
Wed Jan 26 01:23:52 2022	1643131432	22	596	618	133
Wed Jan 26 01:23:54 2022	1643131434	33	585	618	143
Wed Jan 26 01:23:55 2022	1643131435	6	613	619	69
Wed Jan 26 01:23:53 2022	1643131433	6	613	619	175
Wed Jan 26 01:23:55 2022	1643131435	7	612	619	63
Wed Jan 26 01:23:52 2022	1643131432	19	600	619	90
Wed Jan 26 01:23:56 2022	1643131436	21	598	619	78
Wed Jan 26 01:23:56 2022	1643131436	11	609	619	64
Wed Jan 26 01:23:51 2022	1643131431	3	616	619	193
Wed Jan 26 01:23:55 2022	1643131435	5	615	619	70
Wed Jan 26 01:23:58 2022	1643131438	13	607	619	151
Wed Jan 26 01:23:51 2022	1643131431	15	604	619	92
Wed Jan 26 01:23:52 2022	1643131432	19	601	619	90
Wed Jan 26 01:23:53 2022	1643131433	20	600	620	129
Wed Jan 26 01:23:55 2022	1643131435	6	613	620	66
Wed Jan 26 01:23:55 2022	1643131435	4	616	620	70
Wed Jan 26 01:23:51 2022	1643131431	17	603	620	209
Wed Jan 26 01:23:52 2022	1643131432	7	612	620	50
Wed Jan 26 01:23:52 2022	1643131432	27	593	620	133
Wed Jan 26 01:23:55 2022	1643131435	6	615	620	77
Wed Jan 26 01:23:49 2022	1643131429	62	558	620	76
Wed Jan 26 01:23:58 2022	1643131438	21	600	620	195
Wed Jan 26 01:23:53 2022	1643131433	8	613	621	136
